Item Name,Quantity,Rate,Amount,Username,Date  & Timeof Order,Total Amount
Napal act Eye drops 5ml,2,160,320,vishal,28-10-2023 12:51,893
Everherb Aloe Vera Juice With Pulp - Rejuvenates Skin & Hair - 1 Litre Bottle,3,191,573,vishal,28-10-2023 12:51,     
Moov Pain Relief Specialist Cream 15 gm ,3,64,192,t,01-11-2023 12:48,318
Kesh King Scalp and Hair Medicine Anti Hair fall Shampoo 80 ml ,2,63,126,t,01-11-2023 12:48,     
Volini Pain Relief Spray Bottle Of 100g,3,306,918,t,02-11-2023 11:02,918
Moov Pain Relief Specialist Cream 15 gm ,1,64,64,t,02-11-2023 16:25,740
Itral Eye Oint,4,169,676,t,02-11-2023 16:25,     
Skin Brightening Cream Pink Lentile 50 Ml,3,247,741,vishal,06-11-2023 13:10,741
Napal act Eye drops 5ml,2,160,320,r,06-11-2023 13:27,320
Napal act Eye drops 5ml,2,160,320,r,06-11-2023 13:31,320
Napal act Eye drops 5ml,4,160,640,vis,06-11-2023 13:33,640
Napal act Eye drops 5ml,2,160,320,f,06-11-2023 13:36,320
Napal act Eye drops 5ml,23,160,3680,g,06-11-2023 13:40,3680
NASOCLEAR NASAL SPRAY 20Ml,2,50,100,t,07-11-2023 12:48,100
Surgical Face Masks - 3ply(Pack Of 10),3,98,294,vishal,07-11-2023 12:50,294
Indulekha Bringha Hair Oil Bottle Of 100 Ml,1,425,425,vishal,07-11-2023 12:59,445
Prolyte ORS Liquid - Apple Flavour 200 ml  ,1,20,20,vishal,07-11-2023 12:59,     
Itral Eye Oint,1,169,169,vishal,07-11-2023 16:47,169
Indulekha Bringha Hair Oil Bottle Of 100 Ml,1,425,425,t,07-11-2023 16:57,425
Kwik Mint Instant Action Mouth Freshener Spearmint Strips - Pack Of 1 (1 X 20 G)[cinamon flavour],2,180,360,vishal,07-11-2023 16:57,360
Itral Eye Oint,1,169,169,t,07-11-2023 17:01,169
Moov Pain Relief Specialist Cream 15 gm ,3,64,192,t,07-11-2023 17:08,192
Indulekha Bringha Hair Oil Bottle Of 100 Ml,3,425,1275,t,07-11-2023 17:09,1275
Listerine Cool mint Mouthwash 250 ml,4,165,660,vishal,07-11-2023 17:10,660
Kesh King Scalp and Hair Medicine Anti Hair fall Shampoo 80 ml ,2,63,126,t,08-11-2023 12:15,226
NASOCLEAR NASAL SPRAY 20Ml,2,50,100,t,08-11-2023 12:15,     
Moov Pain Relief Specialist Cream 15 gm ,1,64,64,vishal,08-11-2023 12:22,64
Listerine Cool mint Mouthwash 250 ml,2,165,330,t,08-11-2023 12:31,330
Dynamic Top Cast Plaster of Paris Bandage 25cm ,2,144,288,vishal,09-11-2023 11:04,288
Nocold Syrup 60ml,1,64,64,vishal,14-11-2023 11:22,64
Nocold Syrup 60ml,3,64,192,t,14-11-2023 11:27,192
Kesh King Scalp and Hair Medicine Anti Hair fall Shampoo 80 ml ,2,63,126,vishal,2023-11-14 11:38:16.739678,126
