Unnamed: 0,Item Name,Quantity
0,Napal act Eye drops 5ml,43
1,Itral Eye Oint,31
2,NASOCLEAR NASAL SPRAY 20Ml,32
3,Nocold Syrup 60ml,16
4,Dynamic Top Cast Plaster of Paris Bandage 25cm ,14
5,Accusure Electric Heating Pad,20
6,Skin Brightening Cream Pink Lentile 50 Ml,15
7,Everherb  Aloe Vera Juice With Pulp - Rejuvenates Skin & Hair - 1 Litre Bottle,20
8,Kesh King Scalp and Hair Medicine Anti Hair fall Shampoo 80 ml ,21
9,Indulekha Bringha Hair Oil Bottle Of 100 Ml,16
10,Listerine Cool mint Mouthwash 250 ml ,17
11,Kwik Mint Instant Action Mouth Freshener Spearmint Strips - Pack Of 1 (1 X 20 G)[cinamon],25
12,Kwik Mint Instant Action Mouth Freshener Spearmint Strips - Pack Of 1 (1 X 20 G)[spearmint],19
13,Prolyte ORS Liquid - Apple Flavour 200 ml ,15
14,Prolyte ORS Liquid - Orange Flavour 200 ml ,20
15,Dabur Talisadi Churna 60 gm ,20
16,Surgical Face Masks - 3ply(Pack Of 10),15
17,Volini Pain Relief Spray Bottle Of 100g,15
18,Moov Pain Relief Specialist Cream 15 gm ,15
